version,date,commit_hash,status,auroc,auprc,train_time,gpu_mem,epochs,best_epoch,config_path,notes
BL0-P0,2026-05-23T13:04:52+00:00,7955329,blocked,,,,,,,configs/bl0.yaml,FileNotFoundError: RNA-FM checkpoint not found: /data/zwf/cache/torch/hub/checkpoints/RNA-FM_pretrained.pth
BL0-P0,2026-05-23T19:17:14+00:00,7955329,cclmoff_csv_unavailable_using_local_data,,,,,,,configs/bl0.yaml,cclmoff_csv_unavailable_using_local_data; FileNotFoundError: RNA-FM checkpoint not found: /data/zwf/cache/torch/hub/checkpoints/RNA-FM_pretrained.pth
BL0-P0-weighted-average,2026-05-23T20:44:12+00:00,7955329,completed,0.998795,0.850950,no_training,cpu,0,0,configs/bl0_weighted_average.yaml,dataset=GUIDE-seq; split=test; weight_region_r9=0.16; run_c9_weight=0.84
BL0a-smoke-train,2026-05-24T18:22:39+00:00,7955329,smoke_train_passed,0.578125,0.667361,,cpu,1,1,configs/bl0a_smoke.yaml,tiny CCLMoff CSV training-chain smoke test; not a BL0a benchmark
BL0a-quick-1000,2026-05-24T18:35:48+00:00,7955329,train_chain_passed,0.928581,0.913107,,0.52GB,2,2,configs/bl0a_quick_1000.yaml,1000-row CCLMoff CSV quick training-chain check; not a formal BL0a benchmark
BL0a-formal-frozen-v1,2026-05-25T09:34:01+00:00,7955329,completed,0.840561,0.072718,1.316h,1.59GB,5,1,configs/bl0a_formal_frozen.yaml,frozen RNA-FM plus CCLMoff-style MLP; sgRNA_type group-safe split
BL0b-finetune-v1,2026-05-25T14:27:31+00:00,7955329,completed,0.974484,0.522282,3.482h,11.42GB,10,8,configs/bl0b_finetune.yaml,full RNA-FM fine-tune plus CCLMoff-style MLP; sgRNA_type group-safe split
BL3-hard-B-soft-tau4,2026-05-26T01:07:03+00:00,c175cc6,completed,0.992154,0.554510,10.2m,2.5GB,50,50,configs/bl3_hard.yaml,Region+Run prior with CNN+MLP; soft seed gradient tau=4; GUIDE-seq 520K; no RNA-FM
BL3-hard-A,2026-05-26T01:26:00+00:00,c175cc6,completed,0.989395,0.555407,13.8m,2.5GB,50,32,configs/bl3_hard_a.yaml,Hard seed gradient 1x/2x; Region+Run+CNN
BL3-hard-C,2026-05-26T01:38:00+00:00,c175cc6,completed,0.990821,0.565739,10.4m,2.5GB,50,35,configs/bl3_hard_c.yaml,Learnable seed gradient; Region+Run+CNN
BL3-ablation-region,2026-05-26T01:49:00+00:00,c175cc6,completed,0.984199,0.582734,10.2m,2.5GB,50,34,configs/bl3_ablation_region.yaml,Region only; no Run
BL3-ablation-run,2026-05-26T02:01:00+00:00,c175cc6,completed,0.988892,0.609402,10.2m,2.5GB,50,43,configs/bl3_ablation_run.yaml,Run only; no Region
BL3-RNAFM-Fusion,2026-05-26T15:13:00+00:00,c175cc6,completed,0.958497,0.205621,36.6m,4.0GB,50,11,configs/bl3_rnafm_fusion_cclmoff.yaml,RNA-FM frozen + Run CNN fusion; precomputed embeddings; batch=2048; group-safe split; pos_weight=145; CCLMoff 6.4M
BL3.5-Full,2026-05-26T19:00:00+00:00,c175cc6,completed,0.968273,0.229861,30.8m,2.0GB,50,2,configs/bl3_5_full_cclmoff.yaml,C9+R9 bidirectional Cross-Attn+Residual+LN; no RNA-FM; group-safe split; pos_weight=145; test AUPRC=0.230 (best.pt epoch 2); val peak=0.420; SM 40-62%; GPU underutilized
BL5-v4-NoPAM-control,2026-06-02T15:07:30+00:00,42b880d,completed_eval_only,0.984098,0.502389,2.5m,9.88GB,0,4,configs/bl5_v4_nopam_control.yaml,Eval-only recovery from best.pt after interrupted run; Fine-tuned RNA-FM + LearnableRunEncoder + raw RNA-FM/Run simple concat MLP; rna_pooling=cls; use_pam_encoder=False; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-PAM-shuffle-control,2026-06-02T20:00:10+00:00,42b880d,completed,0.669701,0.138883,177.3m,40.41GB,10,6,configs/bl5_v4_pam_shuffle_control.yaml,Fine-tuned RNA-FM + LearnableRunEncoder + raw RNA-FM/Run simple concat MLP; rna_pooling=cls; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-PAM,2026-05-28T00:16:55+00:00,5b455b9,completed,0.984194,0.531281,176.8m,40.41GB,10,9,configs/bl5_v4_pam.yaml,Fine-tuned RNA-FM + LearnableRunEncoder + raw RNA-FM/Run simple concat MLP; rna_pooling=cls; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-PAM,2026-06-03T22:25:47+00:00,ac9315e,completed,0.986086,0.516095,176.3m,40.41GB,10,9,configs/bl5_v4_pam.yaml,Fine-tuned RNA-FM + LearnableRunEncoder + raw RNA-FM/Run simple concat MLP; rna_pooling=cls; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL6-1-PAM-Gated-Fusion-Smoke,2026-06-04T17:10:16+00:00,327075a,completed,0.543961,0.104394,0.1m,6.19GB,1,1,configs/bl6_1_pam_gated_fusion_smoke.yaml,Fine-tuned RNA-FM + LearnableRunEncoder + Cross-Attn + Softmax Gate; rna_pooling=cls; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL6-1-PAM-Gated-Fusion,2026-06-04T20:03:42+00:00,327075a,completed,0.984993,0.539917,172.5m,40.41GB,10,8,configs/bl6_1_pam_gated_fusion.yaml,Fine-tuned RNA-FM + LearnableRunEncoder + Cross-Attn + Softmax Gate; rna_pooling=cls; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-LearnableRun-only-control-Smoke,2026-06-06T07:35:20+00:00,327075a,completed,0.193725,0.002472,0.0m,0.03GB,1,1,configs/bl5_v4_learnablerun_only_control_smoke.yaml,LearnableRunEncoder + Run-only; rna_pooling=mean; use_pam_encoder=False; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-LearnableRun-only-control,2026-06-06T07:43:04+00:00,327075a,completed,0.960909,0.294920,5.5m,0.10GB,10,9,configs/bl5_v4_learnablerun_only_control.yaml,LearnableRunEncoder + Run-only; rna_pooling=mean; use_pam_encoder=False; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-PAM-only-control-Smoke,2026-06-06T09:01:10+00:00,327075a,completed,0.546811,0.008480,0.0m,0.02GB,1,1,configs/bl5_v4_pam_only_control_smoke.yaml,PAM Encoder + PAM-only; rna_pooling=mean; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-PAM-only-control,2026-06-06T09:06:13+00:00,327075a,completed,0.499426,0.059223,4.4m,0.03GB,10,3,configs/bl5_v4_pam_only_control.yaml,PAM Encoder + PAM-only; rna_pooling=mean; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-RNAFM-PAM-noRun-smoke,2026-06-06T10:59:31+00:00,327075a,completed,0.846989,0.275283,42.3m,11.42GB,2,1,configs/bl5_v4_rnafm_pam_norun_control_smoke.yaml,Fine-tuned RNA-FM + Run token CNN + Run-only; rna_pooling=cls; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-RNAFM-PAM-noRun,2026-06-06T13:57:54+00:00,327075a,completed,0.837950,0.276529,176.3m,40.40GB,10,1,/data/zwf/code1/reborn_seed/configs/bl5_v4_rnafm_pam_norun_control.yaml,Fine-tuned RNA-FM + Run token CNN + Run-only; rna_pooling=cls; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-LearnableRun-PAM-noRNAFM-control-Smoke,2026-06-06T14:55:58+00:00,327075a,completed,0.417202,0.001747,0.0m,0.05GB,1,1,configs/bl5_v4_learnablerun_pam_nornafm_control_smoke.yaml,LearnableRunEncoder + Run-only; rna_pooling=mean; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
BL5-v4-LearnableRun-PAM-noRNAFM-control,2026-06-06T15:03:09+00:00,327075a,completed,0.952749,0.177171,6.5m,0.12GB,10,2,/data/zwf/code1/reborn_seed/configs/bl5_v4_learnablerun_pam_nornafm_control.yaml,LearnableRunEncoder + Run-only; rna_pooling=mean; use_pam_encoder=True; focal_loss gamma=2.0; gate_l2_lambda=0; early_stopping_patience=None; best.pt test evaluation
