model,subset,samples,observed_positive,unobserved_candidate,positive_ratio,AUROC,AUPRC,Accuracy,Precision,Recall,F1,mean_prob_positive,median_prob_positive,mean_prob_unobserved_candidate,median_prob_unobserved_candidate,prob_gt_0_5_ratio_positive,prob_gt_0_5_ratio_unobserved_candidate
BL0b-on-BL5split,All,954326,3057,951269,0.003203307884307878,0.8577558687919878,0.2956781038203,0.9973793022510128,0.782520325203252,0.25188092901537457,0.3810937886661717,0.25448688944460574,0.00012339458,0.0003578368335496042,2.4061023e-06,0.25188092901537457,0.00022496265514801808
BL0b-on-BL5split,NGG-only,819984,2349,817635,0.002864690042732541,0.7927416034913206,0.11364877647383977,0.9971389685652403,0.5035128805620609,0.09152830991911452,0.15489913544668588,0.09424463823575846,4.0063693e-05,0.00040849087703325365,3.2887492e-06,0.09152830991911452,0.0002592843995181224
BL0b-on-BL5split,non-NGG-only,134342,708,133634,0.005270131455538849,0.9952684715035393,0.8997324435367021,0.9988462282830388,0.9964093357271095,0.7838983050847458,0.8774703557312253,0.7861380873112475,0.99999964,4.791182311997033e-05,3.4663262e-07,0.7838983050847458,1.496625110376102e-05
BL5-v4-NoPAM-control,All,954326,3057,951269,0.003203307884307878,0.9840980739171932,0.5023886564072724,0.9973269092532321,0.6525934861278649,0.3539417729800458,0.45896076352067866,0.4961067590124632,0.39713913,0.03558412894974367,0.018524721,0.3539417729800458,0.0006055069596507402
BL5-v4-NoPAM-control,NGG-only,819984,2349,817635,0.002864690042732541,0.9778300269259018,0.32404211655405973,0.997053601045874,0.4680648236415634,0.20902511707109409,0.28899352560329605,0.3900638655470839,0.3528386,0.03984792844902835,0.022076514,0.20902511707109409,0.000682456108165624
BL5-v4-NoPAM-control,non-NGG-only,134342,708,133634,0.005270131455538849,0.9992476657932972,0.9407331634890062,0.9989951020529693,0.9704433497536946,0.8347457627118644,0.89749430523918,0.8479355114844631,0.985961525,0.009496219408776358,0.0030498569,0.8347457627118644,0.00013469625993384917
BL5-v4-PAM,All,954326,3057,951269,0.003203307884307878,0.9841936829940499,0.5312806178543836,0.997605640001425,0.7688022284122563,0.36113837095191365,0.4914311150678834,0.4762427985606019,0.36364165,0.0204210647149398,0.0069995914,0.36113837095191365,0.00034900748368757944
BL5-v4-PAM,NGG-only,819984,2349,817635,0.002864690042732541,0.9776125411680199,0.3562428937024265,0.9973572655076196,0.61375,0.20902511707109409,0.3118450301683074,0.3524732679415751,0.3071475,0.022619322261544325,0.008916093,0.20902511707109409,0.00037791924269386706
BL5-v4-PAM,non-NGG-only,134342,708,133634,0.005270131455538849,0.9994650780709837,0.9513966322698838,0.9991216447574102,0.9638364779874213,0.865819209039548,0.9122023809523809,0.8868849276906778,0.99999654,0.0069711020623364935,0.00163465285,0.865819209039548,0.00017211188769325172
BL5-v4-PAM-shuffle-control,All,954326,3057,951269,0.003203307884307878,0.6697011315875885,0.13888271350615927,0.9972242189775821,1.0,0.13346418056918546,0.2354978354978355,0.24893661355053975,0.13477628,0.11823683887859271,0.11991997,0.13346418056918546,0.0
BL5-v4-PAM-shuffle-control,NGG-only,819984,2349,817635,0.002864690042732541,0.6194079627579906,0.003809618400029831,0.9971353099572675,0.0,0.0,0.0,0.1356192544240102,0.12912133,0.12217482218984634,0.120623976,0.0,0.0
BL5-v4-PAM-shuffle-control,non-NGG-only,134342,708,133634,0.005270131455538849,0.8224647857640343,0.6049989495245509,0.9977668934510429,1.0,0.576271186440678,0.7311827956989247,0.6249005635338983,1.0,0.09414242439801997,0.09960418,0.576271186440678,0.0
